Date,Time,Open,High,Low,Close,Volume
07/22/2018,17:00,1.17243,1.17259,1.17243,1.17259,0
07/29/2018,17:00,1.1657,1.1657,1.16569,1.16569,0
08/05/2018,17:00,1.15676,1.15676,1.15676,1.15676,0
08/12/2018,17:00,1.13702,1.1373,1.13702,1.13724,0
08/19/2018,17:00,1.14373,1.14373,1.14372,1.14372,0
08/26/2018,17:00,1.16139,1.16159,1.16138,1.16159,0
09/02/2018,17:00,1.1595,1.15951,1.1595,1.15951,0
09/09/2018,17:00,1.15463,1.1547,1.15463,1.1547,0
09/16/2018,17:00,1.16228,1.16232,1.16228,1.16232,0
09/23/2018,17:00,1.17442,1.17442,1.17442,1.17442,0
09/30/2018,17:00,1.16165,1.16165,1.16165,1.16165,0
10/07/2018,17:00,1.15203,1.15214,1.15203,1.15214,0
10/14/2018,17:00,1.15574,1.15574,1.15568,1.1557,0
10/21/2018,17:00,1.15139,1.1515,1.15139,1.1515,0
10/28/2018,17:00,1.13908,1.13913,1.13908,1.13913,0
11/04/2018,17:00,1.13848,1.1386,1.13848,1.13858,0
11/11/2018,17:00,1.13223,1.13258,1.13223,1.13237,0
11/18/2018,17:00,1.14116,1.14122,1.14116,1.14122,0
11/25/2018,17:00,1.13352,1.13365,1.1335,1.1335,0
12/02/2018,17:00,1.135,1.135,1.13496,1.13496,0
12/09/2018,17:00,1.13901,1.13906,1.13896,1.13902,0
12/16/2018,17:00,1.13008,1.13009,1.13008,1.13009,0
12/23/2018,17:00,1.13677,1.13746,1.13674,1.13684,0
12/30/2018,17:00,1.14331,1.1436,1.14331,1.14359,0
01/06/2019,17:00,1.13966,1.13976,1.13943,1.13943,0
01/13/2019,17:00,1.14589,1.14593,1.14588,1.14589,0
01/20/2019,17:00,1.13603,1.13607,1.13602,1.13602,0
01/27/2019,17:00,1.14005,1.14005,1.14004,1.14005,0
02/03/2019,17:00,1.14543,1.1455,1.14538,1.14547,0
02/10/2019,17:00,1.13186,1.13213,1.13184,1.13191,0
02/17/2019,17:00,1.12906,1.12918,1.12906,1.12918,0
02/24/2019,17:00,1.1334,1.13342,1.1334,1.13342,0
03/03/2019,17:00,1.13811,1.13826,1.13811,1.13815,0
03/10/2019,17:00,1.12335,1.12349,1.12333,1.12343,0
03/17/2019,17:00,1.1322,1.13262,1.13215,1.13253,0
03/24/2019,17:00,1.12941,1.12976,1.12927,1.12967,0
03/31/2019,17:00,1.12254,1.12254,1.12254,1.12254,0
04/07/2019,17:00,1.12149,1.12159,1.1214,1.12142,0
04/14/2019,17:00,1.13035,1.13039,1.13035,1.13039,0
04/21/2019,17:00,1.12408,1.12408,1.12408,1.12408,0
04/28/2019,17:00,1.11441,1.11449,1.11441,1.11449,0
05/05/2019,17:00,1.11799,1.11799,1.11672,1.11672,0
05/12/2019,17:00,1.1232,1.1232,1.1232,1.1232,0
05/19/2019,17:00,1.11598,1.11604,1.11598,1.11603,0
05/26/2019,17:00,1.12045,1.12052,1.12043,1.12043,0
