Date,Time,Open,High,Low,Close
12/12/2018,17:00,1.13672,1.13678,1.13671,1.13677
12/13/2018,17:00,1.13606,1.13606,1.1358,1.1358
12/14/2018,17:00,1.13027,1.13036,1.13019,1.13036
12/15/2018,17:00,1.13027,1.13036,1.13019,1.13036
12/16/2018,17:00,1.13008,1.13009,1.13008,1.13009
12/17/2018,17:00,1.13474,1.13474,1.1347,1.13472
12/18/2018,17:00,1.13594,1.13632,1.13591,1.13632
12/19/2018,17:00,1.13748,1.13748,1.13744,1.13744
12/20/2018,17:00,1.14454,1.14454,1.1445,1.14454
12/21/2018,17:00,1.13677,1.13746,1.13674,1.13684
12/22/2018,17:00,1.13677,1.13746,1.13674,1.13684
12/23/2018,17:00,1.13677,1.13746,1.13674,1.13684
12/24/2018,17:00,1.13972,1.13988,1.13972,1.13988
12/25/2018,17:00,1.13999,1.13999,1.13988,1.13988
12/26/2018,17:00,1.13507,1.13518,1.13504,1.13518
12/27/2018,17:00,1.14285,1.14303,1.14247,1.14303
12/28/2018,17:00,1.1441,1.14414,1.14409,1.14414
12/29/2018,17:00,1.1441,1.14414,1.14409,1.14414
12/30/2018,17:00,1.14331,1.1436,1.14331,1.14359
12/31/2018,17:00,1.14671,1.14671,1.14635,1.14644
01/01/2019,17:00,1.14671,1.14671,1.14635,1.14644
01/02/2019,17:00,1.13423,1.13459,1.1342,1.13459
01/03/2019,17:00,1.13942,1.13943,1.13923,1.13924
01/04/2019,17:00,1.13966,1.13976,1.13943,1.13943
01/05/2019,17:00,1.13966,1.13976,1.13943,1.13943
01/06/2019,17:00,1.13966,1.13976,1.13943,1.13943
01/07/2019,17:00,1.1474,1.1474,1.14735,1.14738
01/08/2019,17:00,1.14406,1.14406,1.14402,1.14402
01/09/2019,17:00,1.15419,1.1542,1.15416,1.15416
01/10/2019,17:00,1.14994,1.14994,1.14991,1.14992
01/11/2019,17:00,1.1467,1.14691,1.14656,1.14656
01/12/2019,17:00,1.1467,1.14691,1.14656,1.14656
01/13/2019,17:00,1.14589,1.14593,1.14588,1.14589
01/14/2019,17:00,1.14679,1.1468,1.14676,1.14676
01/15/2019,17:00,1.14119,1.14121,1.14105,1.14113
01/16/2019,17:00,1.13911,1.13922,1.13907,1.13922
01/17/2019,17:00,1.1388,1.13883,1.13878,1.13879
01/18/2019,17:00,1.13628,1.13632,1.13614,1.13614
01/19/2019,17:00,1.13628,1.13632,1.13614,1.13614
01/20/2019,17:00,1.13603,1.13607,1.13602,1.13602
01/21/2019,17:00,1.13658,1.13661,1.13646,1.13646
01/22/2019,17:00,1.13594,1.13598,1.1359,1.1359
01/23/2019,17:00,1.13804,1.13804,1.13798,1.13798
01/24/2019,17:00,1.13011,1.13012,1.13008,1.13012
01/25/2019,17:00,1.14054,1.14058,1.14032,1.14032
01/26/2019,17:00,1.14054,1.14058,1.14032,1.14032
01/27/2019,17:00,1.14005,1.14005,1.14004,1.14005
01/28/2019,17:00,1.14257,1.14257,1.1425,1.14253
01/29/2019,17:00,1.14308,1.14311,1.14299,1.14311
01/30/2019,17:00,1.14786,1.14794,1.14785,1.14793
01/31/2019,17:00,1.14468,1.14468,1.14458,1.1446
02/01/2019,17:00,1.14543,1.1455,1.14538,1.14547
02/02/2019,17:00,1.14543,1.1455,1.14538,1.14547
02/03/2019,17:00,1.14543,1.1455,1.14538,1.14547
02/04/2019,17:00,1.14353,1.14359,1.14348,1.14354
02/05/2019,17:00,1.14054,1.14056,1.14021,1.14024
02/06/2019,17:00,1.13615,1.13615,1.13609,1.1361
02/07/2019,17:00,1.13383,1.13393,1.13373,1.1338
02/08/2019,17:00,1.13212,1.13214,1.13207,1.13207
02/09/2019,17:00,1.13212,1.13214,1.13207,1.13207
02/10/2019,17:00,1.13186,1.13213,1.13184,1.13191
02/11/2019,17:00,1.12752,1.12753,1.12743,1.12743
02/12/2019,17:00,1.13251,1.13274,1.13238,1.13248
02/13/2019,17:00,1.12601,1.1262,1.12601,1.12608
02/14/2019,17:00,1.12949,1.12952,1.12943,1.12943
02/15/2019,17:00,1.12916,1.12982,1.12909,1.12925
02/16/2019,17:00,1.12916,1.12982,1.12909,1.12925
02/17/2019,17:00,1.12906,1.12918,1.12906,1.12918
02/18/2019,17:00,1.13079,1.13082,1.13072,1.1308
02/19/2019,17:00,1.134,1.13401,1.134,1.13401
02/20/2019,17:00,1.13359,1.13374,1.13356,1.13361
02/21/2019,17:00,1.13323,1.13328,1.13323,1.13328
02/22/2019,17:00,1.13307,1.13315,1.13307,1.13313
02/23/2019,17:00,1.13307,1.13315,1.13307,1.13313
02/24/2019,17:00,1.1334,1.13342,1.1334,1.13342
02/25/2019,17:00,1.1357,1.13592,1.13566,1.13583
02/26/2019,17:00,1.13887,1.13887,1.13881,1.13884
02/27/2019,17:00,1.13691,1.13692,1.13689,1.1369
02/28/2019,17:00,1.13702,1.13712,1.13701,1.13704
03/01/2019,17:00,1.1363,1.13667,1.13626,1.13633
03/02/2019,17:00,1.1363,1.13667,1.13626,1.13633
03/03/2019,17:00,1.13811,1.13826,1.13811,1.13815
03/04/2019,17:00,1.13394,1.13398,1.13389,1.13389
03/05/2019,17:00,1.13072,1.13072,1.13064,1.13065
03/06/2019,17:00,1.13059,1.13062,1.13053,1.13056
03/07/2019,17:00,1.11929,1.1193,1.11926,1.11927
03/08/2019,17:00,1.12325,1.12325,1.12311,1.12311
03/09/2019,17:00,1.12325,1.12325,1.12311,1.12311
03/10/2019,17:00,1.12335,1.12349,1.12333,1.12343
03/11/2019,17:00,1.12488,1.12491,1.12473,1.12475
03/12/2019,17:00,1.12879,1.12895,1.12877,1.12895
03/13/2019,17:00,1.13304,1.13316,1.13303,1.13311
03/14/2019,17:00,1.13044,1.13055,1.13039,1.13045
03/15/2019,17:00,1.13241,1.1325,1.1324,1.1324
03/16/2019,17:00,1.13241,1.1325,1.1324,1.1324
03/17/2019,17:00,1.1322,1.13262,1.13215,1.13253
03/18/2019,17:00,1.13353,1.13359,1.1335,1.13357
03/19/2019,17:00,1.13496,1.13511,1.13496,1.13505
03/20/2019,17:00,1.14241,1.14257,1.14241,1.14248
03/21/2019,17:00,1.13733,1.13746,1.1373,1.13737
03/22/2019,17:00,1.1301,1.13012,1.12991,1.13004
03/23/2019,17:00,1.1301,1.13012,1.12991,1.13004
03/24/2019,17:00,1.12941,1.12976,1.12927,1.12967
03/25/2019,17:00,1.1313,1.13172,1.13126,1.1315
03/26/2019,17:00,1.12702,1.12705,1.12689,1.12696
03/27/2019,17:00,1.12513,1.12519,1.1251,1.12517
03/28/2019,17:00,1.12264,1.12276,1.12261,1.1227
03/29/2019,17:00,1.12169,1.12179,1.12168,1.12179
03/30/2019,17:00,1.12169,1.12179,1.12168,1.12179
03/31/2019,17:00,1.12254,1.12254,1.12254,1.12254
04/01/2019,17:00,1.1212,1.12125,1.1212,1.1212
04/02/2019,17:00,1.12043,1.1206,1.12038,1.12038
04/03/2019,17:00,1.12321,1.12325,1.1232,1.12325
04/04/2019,17:00,1.12198,1.122,1.12191,1.12193
04/05/2019,17:00,1.12149,1.12159,1.1214,1.12142
04/06/2019,17:00,1.12149,1.12159,1.1214,1.12142
04/07/2019,17:00,1.12149,1.12159,1.1214,1.12142
04/08/2019,17:00,1.12604,1.12605,1.12598,1.12605
04/09/2019,17:00,1.12614,1.12619,1.12612,1.12618
04/10/2019,17:00,1.1273,1.12731,1.12725,1.1273
04/11/2019,17:00,1.12513,1.12522,1.12511,1.1252
04/12/2019,17:00,1.12982,1.12984,1.12976,1.12976
04/13/2019,17:00,1.12982,1.12984,1.12976,1.12976
04/14/2019,17:00,1.13035,1.13039,1.13035,1.13039
04/15/2019,17:00,1.1303,1.13033,1.13029,1.1303
04/16/2019,17:00,1.12804,1.12819,1.12804,1.12812
04/17/2019,17:00,1.12984,1.12985,1.12933,1.12944
04/18/2019,17:00,1.12295,1.12295,1.12263,1.12274
04/19/2019,17:00,1.12407,1.1247,1.12407,1.12408
04/20/2019,17:00,1.12407,1.1247,1.12407,1.12408
04/21/2019,17:00,1.12408,1.12408,1.12408,1.12408
04/22/2019,17:00,1.12568,1.12568,1.12565,1.12565
04/23/2019,17:00,1.12264,1.12265,1.12262,1.12262
04/24/2019,17:00,1.11518,1.11529,1.11518,1.11529
04/25/2019,17:00,1.11283,1.11303,1.11283,1.11303
04/26/2019,17:00,1.11389,1.11503,1.11389,1.11429
04/27/2019,17:00,1.11389,1.11503,1.11389,1.11429
04/28/2019,17:00,1.11441,1.11449,1.11441,1.11449
04/29/2019,17:00,1.11854,1.11854,1.11839,1.1184
04/30/2019,17:00,1.12141,1.12144,1.12139,1.12144
05/01/2019,17:00,1.1195,1.1197,1.11949,1.11964
05/02/2019,17:00,1.11714,1.1172,1.11709,1.11717
05/03/2019,17:00,1.12014,1.12014,1.12007,1.12007
05/04/2019,17:00,1.12014,1.12014,1.12007,1.12007
05/05/2019,17:00,1.11799,1.11799,1.11672,1.11672
05/06/2019,17:00,1.1198,1.1198,1.11972,1.11972
05/07/2019,17:00,1.11899,1.11904,1.11898,1.11903
05/08/2019,17:00,1.11909,1.11909,1.11906,1.11906
05/09/2019,17:00,1.12123,1.12127,1.12115,1.12125
05/10/2019,17:00,1.12332,1.12332,1.12329,1.12329
05/11/2019,17:00,1.12332,1.12332,1.12329,1.12329
05/12/2019,17:00,1.1232,1.1232,1.1232,1.1232
05/13/2019,17:00,1.12211,1.12219,1.12209,1.12212
05/14/2019,17:00,1.12033,1.12033,1.12031,1.12031
05/15/2019,17:00,1.12009,1.12011,1.12004,1.12004
05/16/2019,17:00,1.11735,1.11735,1.11728,1.11728
05/17/2019,17:00,1.11565,1.11568,1.11562,1.11563
05/18/2019,17:00,1.11565,1.11568,1.11562,1.11563
05/19/2019,17:00,1.11598,1.11604,1.11598,1.11603
05/20/2019,17:00,1.11652,1.11655,1.11647,1.11651
05/21/2019,17:00,1.11593,1.11593,1.11567,1.11577
05/22/2019,17:00,1.11498,1.11501,1.11497,1.115
05/23/2019,17:00,1.11819,1.11819,1.11806,1.11816
05/24/2019,17:00,1.12045,1.12052,1.12043,1.12043
05/25/2019,17:00,1.12045,1.12052,1.12043,1.12043
05/26/2019,17:00,1.12045,1.12052,1.12043,1.12043
05/27/2019,17:00,1.1191,1.1191,1.11903,1.11906
05/28/2019,17:00,1.11598,1.11606,1.11594,1.11598
05/29/2019,17:00,1.11305,1.11317,1.11303,1.11316
05/30/2019,17:00,1.11285,1.11289,1.11285,1.11289
05/31/2019,17:00,1.11679,1.11685,1.11678,1.11678
06/01/2019,17:00,1.11679,1.11685,1.11678,1.11678
06/02/2019,17:00,1.11679,1.11685,1.11678,1.11678
06/03/2019,17:00,1.12414,1.12419,1.12414,1.12414
06/04/2019,17:00,1.12515,1.12515,1.12503,1.12506
06/05/2019,17:00,1.12204,1.12215,1.12201,1.12214
06/06/2019,17:00,1.12752,1.12777,1.12752,1.1276
06/07/2019,17:00,1.13322,1.1333,1.13315,1.13317
06/08/2019,17:00,1.13322,1.1333,1.13315,1.13317
06/09/2019,17:00,1.1322,1.13224,1.13218,1.1322
06/10/2019,17:00,1.13109,1.13117,1.13105,1.13117
06/11/2019,17:00,1.13253,1.1327,1.1325,1.13255
06/12/2019,17:00,1.12871,1.12883,1.1286,1.12868
06/13/2019,17:00,1.12761,1.12762,1.12757,1.12762
06/14/2019,17:00,1.12102,1.12102,1.1205,1.1205
06/15/2019,17:00,1.12102,1.12102,1.1205,1.1205
06/16/2019,17:00,1.12089,1.12093,1.12088,1.12088
06/17/2019,17:00,1.12174,1.12176,1.12173,1.12176
06/18/2019,17:00,1.11926,1.11926,1.11921,1.11923
06/19/2019,17:00,1.12255,1.12265,1.12255,1.12264
06/20/2019,17:00,1.12913,1.12945,1.12913,1.12943
06/21/2019,17:00,1.13688,1.13689,1.13679,1.13679
06/22/2019,17:00,1.13688,1.13689,1.13679,1.13679
06/23/2019,17:00,1.13695,1.13703,1.13695,1.13697
06/24/2019,17:00,1.13979,1.13979,1.13973,1.13974
06/25/2019,17:00,1.13667,1.1367,1.13651,1.13651
06/26/2019,17:00,1.13676,1.1369,1.1367,1.13679
06/27/2019,17:00,1.13689,1.1369,1.13688,1.13688
06/28/2019,17:00,1.13681,1.13691,1.13665,1.13681
06/29/2019,17:00,1.13681,1.13691,1.13665,1.13681
06/30/2019,17:00,1.13595,1.13596,1.13589,1.13596
07/01/2019,17:00,1.1285,1.12852,1.1285,1.12852
07/02/2019,17:00,1.12862,1.12865,1.12843,1.12847
07/03/2019,17:00,1.12777,1.12777,1.12772,1.12777
07/04/2019,17:00,1.12837,1.12837,1.12826,1.12826
07/05/2019,17:00,1.12253,1.12255,1.12235,1.12235
07/06/2019,17:00,1.12253,1.12255,1.12235,1.12235
07/07/2019,17:00,1.12215,1.12228,1.12215,1.12227
07/08/2019,17:00,1.12141,1.12143,1.12139,1.12142
07/09/2019,17:00,1.12076,1.12079,1.1207,1.1207
07/10/2019,17:00,1.12503,1.12511,1.12503,1.12509
07/11/2019,17:00,1.12529,1.12541,1.12529,1.12536
07/12/2019,17:00,1.12703,1.12706,1.12698,1.12698
07/13/2019,17:00,1.12703,1.12706,1.12698,1.12698
07/14/2019,17:00,1.12703,1.12706,1.12698,1.12698
07/15/2019,17:00,1.12579,1.12579,1.12576,1.12577
07/16/2019,17:00,1.12094,1.12094,1.12091,1.12092
07/17/2019,17:00,1.12237,1.12246,1.12232,1.12244
07/18/2019,17:00,1.12766,1.12766,1.12755,1.12762
07/19/2019,17:00,1.122,1.1221,1.12192,1.12192
07/20/2019,17:00,1.122,1.1221,1.12192,1.12192
07/21/2019,17:00,1.1215,1.12151,1.1215,1.12151
07/22/2019,17:00,1.12093,1.12094,1.1208,1.12093
07/23/2019,17:00,1.11511,1.11518,1.11511,1.11517
07/24/2019,17:00,1.114,1.11412,1.11395,1.11409
07/25/2019,17:00,1.11463,1.11474,1.11462,1.11462
07/26/2019,17:00,1.11244,1.11247,1.11244,1.11247
